,Month,Day,measurement,reading
0,5,1,Ozone,41
1,5,2,Ozone,36
2,5,3,Ozone,12
3,5,4,Ozone,18
4,5,5,Ozone,
5,5,6,Ozone,28
6,5,7,Ozone,23
7,5,8,Ozone,19
8,5,9,Ozone,8
9,5,10,Ozone,
10,5,11,Ozone,7
11,5,12,Ozone,16
12,5,13,Ozone,11
13,5,14,Ozone,14
14,5,15,Ozone,18
15,5,16,Ozone,14
16,5,17,Ozone,34
17,5,18,Ozone,6
18,5,19,Ozone,30
19,5,20,Ozone,11
20,5,21,Ozone,1
21,5,22,Ozone,11
22,5,23,Ozone,4
23,5,24,Ozone,32
24,5,25,Ozone,
25,5,26,Ozone,
26,5,27,Ozone,
27,5,28,Ozone,23
28,5,29,Ozone,45
29,5,30,Ozone,115
30,5,31,Ozone,37
31,6,1,Ozone,
32,6,2,Ozone,
33,6,3,Ozone,
34,6,4,Ozone,
35,6,5,Ozone,
36,6,6,Ozone,
37,6,7,Ozone,29
38,6,8,Ozone,
39,6,9,Ozone,71
40,6,10,Ozone,39
41,6,11,Ozone,
42,6,12,Ozone,
43,6,13,Ozone,23
44,6,14,Ozone,
45,6,15,Ozone,
46,6,16,Ozone,21
47,6,17,Ozone,37
48,6,18,Ozone,20
49,6,19,Ozone,12
50,6,20,Ozone,13
51,6,21,Ozone,
52,6,22,Ozone,
53,6,23,Ozone,
54,6,24,Ozone,
55,6,25,Ozone,
56,6,26,Ozone,
57,6,27,Ozone,
58,6,28,Ozone,
59,6,29,Ozone,
60,6,30,Ozone,
61,7,1,Ozone,135
62,7,2,Ozone,49
63,7,3,Ozone,32
64,7,4,Ozone,
65,7,5,Ozone,64
66,7,6,Ozone,40
67,7,7,Ozone,77
68,7,8,Ozone,97
69,7,9,Ozone,97
70,7,10,Ozone,85
71,7,11,Ozone,
72,7,12,Ozone,10
73,7,13,Ozone,27
74,7,14,Ozone,
75,7,15,Ozone,7
76,7,16,Ozone,48
77,7,17,Ozone,35
78,7,18,Ozone,61
79,7,19,Ozone,79
80,7,20,Ozone,63
81,7,21,Ozone,16
82,7,22,Ozone,
83,7,23,Ozone,
84,7,24,Ozone,80
85,7,25,Ozone,108
86,7,26,Ozone,20
87,7,27,Ozone,52
88,7,28,Ozone,82
89,7,29,Ozone,50
90,7,30,Ozone,64
91,7,31,Ozone,59
92,8,1,Ozone,39
93,8,2,Ozone,9
94,8,3,Ozone,16
95,8,4,Ozone,78
96,8,5,Ozone,35
97,8,6,Ozone,66
98,8,7,Ozone,122
99,8,8,Ozone,89
100,8,9,Ozone,110
101,8,10,Ozone,
102,8,11,Ozone,
103,8,12,Ozone,44
104,8,13,Ozone,28
105,8,14,Ozone,65
106,8,15,Ozone,
107,8,16,Ozone,22
108,8,17,Ozone,59
109,8,18,Ozone,23
110,8,19,Ozone,31
111,8,20,Ozone,44
112,8,21,Ozone,21
113,8,22,Ozone,9
114,8,23,Ozone,
115,8,24,Ozone,45
116,8,25,Ozone,168
117,8,26,Ozone,73
118,8,27,Ozone,
