Date,Day,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali
12/7/2014,260,2292,7079,7897,20,1,4,1,7,1428,2960,1768,8,0,1,0,6
11/30/2014,253,2164,7080,7312,20,1,4,1,7,1327,2961,1583,8,0,1,0,6
11/23/2014,246,2134,7081,6599,20,1,4,1,7,1260,2962,1398,8,0,1,0,6
11/18/2014,241,2047,7082,6190,20,1,4,1,6,1214,2963,1267,8,0,1,0,6
11/16/2014,239,1971,6616,6073,20,1,4,1,5,1192,2763,1250,8,0,1,0,5
11/11/2014,234,1919,6617,5586,20,1,4,1,4,1166,2764,1187,8,0,1,0,3
11/9/2014,232,1878,6618,5368,20,1,4,1,1,1142,2765,1169,8,0,1,0,1
11/4/2014,227,1879,6619,4862,20,1,4,1,1,1145,2766,1130,8,0,1,0,1
11/2/2014,225,1731,6620,4759,20,1,4,1,1,1041,2767,1070,8,0,1,0,1
10/29/2014,220,1667,6621,5338,20,1,4,1,1,1018,2768,1510,8,0,1,0,1
