total_bill,tip,sex,smoker,day,time,size,total_dollar,fraction
16.99,1.01,Female,No,Sun,Dinner,2,$16.99 ,0.059446733
10.34,1.66,Male,No,Sun,Dinner,3,$10.34 ,0.160541586
21.01,3.5,Male,No,Sun,Dinner,3,$21.01 ,0.166587339
23.68,3.31,Male,No,Sun,Dinner,2,$23.68 ,0.139780405
24.59,3.61,Female,No,Sun,Dinner,4,$24.59 ,0.146807645
25.29,4.71,Male,No,Sun,Dinner,4,$25.29 ,0.18623962
8.77,2,Male,No,Sun,Dinner,2,$8.77 ,0.228050171
26.88,3.12,Male,No,Sun,Dinner,4,$26.88 ,0.116071429
15.04,1.96,Male,No,Sun,Dinner,2,$15.04 ,0.130319149
14.78,3.23,Male,No,Sun,Dinner,2,$14.78 ,0.218538566
10.27,1.71,Male,No,Sun,Dinner,2,$10.27 ,0.166504382
35.26,5,Female,No,Sun,Dinner,4,$35.26 ,0.141803744
15.42,1.57,Male,No,Sun,Dinner,2,$15.42 ,0.101815824
18.43,3,Male,No,Sun,Dinner,4,$18.43 ,0.162778079
14.83,3.02,Female,No,Sun,Dinner,2,$14.83 ,0.203641268
21.58,3.92,Male,No,Sun,Dinner,2,$21.58 ,0.181649676
10.33,1.67,Female,No,Sun,Dinner,3,$10.33 ,0.161665053
16.29,3.71,Male,No,Sun,Dinner,3,$16.29 ,0.227747084
16.97,3.5,Female,No,Sun,Dinner,3,$16.97 ,0.206246317
20.65,3.35,Male,No,Sat,Dinner,3,$20.65 ,0.162227603
17.92,4.08,Male,No,Sat,Dinner,2,$17.92 ,0.227678571
20.29,2.75,Female,No,Sat,Dinner,2,$20.29 ,0.135534746
15.77,2.23,Female,No,Sat,Dinner,2,$15.77 ,0.141407736
39.42,7.58,Male,No,Sat,Dinner,4,$39.42 ,0.192288179
19.82,3.18,Male,No,Sat,Dinner,2,$19.82 ,0.160443996
17.81,2.34,Male,No,Sat,Dinner,4,$17.81 ,0.131386861
13.37,2,Male,No,Sat,Dinner,2,$13.37 ,0.149588631
12.69,2,Male,No,Sat,Dinner,2,$12.69 ,0.157604413
21.7,4.3,Male,No,Sat,Dinner,2,$21.70 ,0.198156682
19.65,3,Female,No,Sat,Dinner,2,$19.65 ,0.152671756
9.55,1.45,Male,No,Sat,Dinner,2,$9.55 ,0.151832461
18.35,2.5,Male,No,Sat,Dinner,4,$18.35 ,0.136239782
15.06,3,Female,No,Sat,Dinner,2,$15.06 ,0.199203187
20.69,2.45,Female,No,Sat,Dinner,4,$20.69 ,0.118414693
17.78,3.27,Male,No,Sat,Dinner,2,$17.78 ,0.183914511
24.06,3.6,Male,No,Sat,Dinner,3,$24.06 ,0.149625935
16.31,2,Male,No,Sat,Dinner,3,$16.31 ,0.122624157
16.93,3.07,Female,No,Sat,Dinner,3,$16.93 ,0.181334908
18.69,2.31,Male,No,Sat,Dinner,3,$18.69 ,0.123595506
31.27,5,Male,No,Sat,Dinner,3,$31.27 ,0.159897665
16.04,2.24,Male,No,Sat,Dinner,3,$16.04 ,0.139650873
17.46,2.54,Male,No,Sun,Dinner,2,$17.46 ,0.145475372
13.94,3.06,Male,No,Sun,Dinner,2,$13.94 ,0.219512195
9.68,1.32,Male,No,Sun,Dinner,2,$9.68 ,0.136363636
30.4,5.6,Male,No,Sun,Dinner,4,$30.40 ,0.184210526
18.29,3,Male,No,Sun,Dinner,2,$18.29 ,0.164024057
22.23,5,Male,No,Sun,Dinner,2,$22.23 ,0.224921278
32.4,6,Male,No,Sun,Dinner,4,$32.40 ,0.185185185
28.55,2.05,Male,No,Sun,Dinner,3,$28.55 ,0.071803853
18.04,3,Male,No,Sun,Dinner,2,$18.04 ,0.166297118
12.54,2.5,Male,No,Sun,Dinner,2,$12.54 ,0.199362041
10.29,2.6,Female,No,Sun,Dinner,2,$10.29 ,0.252672498
34.81,5.2,Female,No,Sun,Dinner,4,$34.81 ,0.149382361
9.94,1.56,Male,No,Sun,Dinner,2,$9.94 ,0.15694165
25.56,4.34,Male,No,Sun,Dinner,4,$25.56 ,0.169796557
19.49,3.51,Male,No,Sun,Dinner,2,$19.49 ,0.180092355
38.01,3,Male,Yes,Sat,Dinner,4,$38.01 ,0.078926598
26.41,1.5,Female,No,Sat,Dinner,2,$26.41 ,0.056796668
11.24,1.76,Male,Yes,Sat,Dinner,2,$11.24 ,0.15658363
48.27,6.73,Male,No,Sat,Dinner,4,$48.27 ,0.139424073
20.29,3.21,Male,Yes,Sat,Dinner,2,$20.29 ,0.158206013
13.81,2,Male,Yes,Sat,Dinner,2,$13.81 ,0.144822592
11.02,1.98,Male,Yes,Sat,Dinner,2,$11.02 ,0.179673321
18.29,3.76,Male,Yes,Sat,Dinner,4,$18.29 ,0.205576818
17.59,2.64,Male,No,Sat,Dinner,3,$17.59 ,0.150085276
20.08,3.15,Male,No,Sat,Dinner,3,$20.08 ,0.15687251
16.45,2.47,Female,No,Sat,Dinner,2,$16.45 ,0.150151976
3.07,1,Female,Yes,Sat,Dinner,1,$3.07 ,0.325732899
20.23,2.01,Male,No,Sat,Dinner,2,$20.23 ,0.09935739
15.01,2.09,Male,Yes,Sat,Dinner,2,$15.01 ,0.139240506
12.02,1.97,Male,No,Sat,Dinner,2,$12.02 ,0.163893511
17.07,3,Female,No,Sat,Dinner,3,$17.07 ,0.175746924
26.86,3.14,Female,Yes,Sat,Dinner,2,$26.86 ,0.116902457
25.28,5,Female,Yes,Sat,Dinner,2,$25.28 ,0.19778481
14.73,2.2,Female,No,Sat,Dinner,2,$14.73 ,0.149355058
10.51,1.25,Male,No,Sat,Dinner,2,$10.51 ,0.118934348
17.92,3.08,Male,Yes,Sat,Dinner,2,$17.92 ,0.171875
27.2,4,Male,No,Thur,Lunch,4,$27.20 ,0.147058824
22.76,3,Male,No,Thur,Lunch,2,$22.76 ,0.131810193
17.29,2.71,Male,No,Thur,Lunch,2,$17.29 ,0.156737999
19.44,3,Male,Yes,Thur,Lunch,2,$19.44 ,0.154320988
16.66,3.4,Male,No,Thur,Lunch,2,$16.66 ,0.204081633
10.07,1.83,Female,No,Thur,Lunch,1,$10.07 ,0.181727905
32.68,5,Male,Yes,Thur,Lunch,2,$32.68 ,0.152998776
15.98,2.03,Male,No,Thur,Lunch,2,$15.98 ,0.127033792
34.83,5.17,Female,No,Thur,Lunch,4,$34.83 ,0.148435257
13.03,2,Male,No,Thur,Lunch,2,$13.03 ,0.153491942
