Temperature,DewPoint,Pressure,Date
78.7,60,1,20100427 13:00
80,59.9,1,20100427 14:00
80.7,59.8,1,20100427 15:00
80.8,59.5,1,20100427 16:00
80.4,59.5,1,20100427 17:00
78.9,59.1,1,20100427 18:00
75.8,59.8,1,20100427 19:00
72.5,60.2,1,20100427 20:00
70.5,60.2,1,20100427 21:00
69,60.3,1,20100427 22:00
67.8,60.5,1,20100427 23:00
67,60.2,1,20100428 00:00
65.8,60.3,1,20100428 01:00
65.1,60,1,20100428 02:00
64.6,59.8,1,20100428 03:00
64.2,59.7,1,20100428 04:00
63.8,59.5,1,20100428 05:00
63.7,59,1,20100428 06:00
64.9,60.1,1,20100428 07:00
67.5,60.6,1,20100428 08:00
70.5,60.8,1,20100428 09:00
73,60.7,1,20100428 10:00
75.3,60.5,1,20100428 11:00
77.3,60.1,1,20100428 12:00
79,60.4,1,20100428 13:00
80.3,60.3,1,20100428 14:00
81,60.1,1,20100428 15:00
81,59.9,1,20100428 16:00
80.7,59.8,1,20100428 17:00
79.2,59.4,1,20100428 18:00
76,60,1,20100428 19:00
72.8,60.4,1,20100428 20:00
70.8,60.6,1,20100428 21:00
69.3,60.6,1,20100428 22:00
68.1,60.8,1,20100428 23:00
67.2,60.5,1,20100429 00:00
66,60.6,1,20100429 01:00
65.3,60.3,1,20100429 02:00
64.8,60.1,1,20100429 03:00
64.4,60.1,1,20100429 04:00
64.1,59.9,1,20100429 05:00
64,59.4,1,20100429 06:00
65.1,60.4,1,20100429 07:00
67.7,60.9,1,20100429 08:00
70.7,61.1,1,20100429 09:00
73.2,61,1,20100429 10:00
75.5,60.9,1,20100429 11:00
77.6,60.4,1,20100429 12:00
79.2,60.7,1,20100429 13:00
80.5,60.6,1,20100429 14:00
81.3,60.4,1,20100429 15:00
81.3,60.2,1,20100429 16:00
81,60,1,20100429 17:00
79.4,59.6,1,20100429 18:00
76.3,60.3,1,20100429 19:00
73.1,60.7,1,20100429 20:00
71.1,60.8,1,20100429 21:00
69.5,60.8,1,20100429 22:00
68.3,61,1,20100429 23:00
67.4,60.7,1,20100430 00:00
66.2,60.9,1,20100430 01:00
65.5,60.5,1,20100430 02:00
64.9,60.3,1,20100430 03:00
64.6,60.3,1,20100430 04:00
64.3,60.1,1,20100430 05:00
64.1,59.6,1,20100430 06:00
65.4,60.7,1,20100430 07:00
68,61.2,1,20100430 08:00
70.9,61.4,1,20100430 09:00
73.4,61.3,1,20100430 10:00
75.8,61.2,1,20100430 11:00
77.8,60.7,1,20100430 12:00
79.4,61,1,20100430 13:00
80.7,60.9,1,20100430 14:00
81.6,60.8,1,20100430 15:00
81.7,60.5,1,20100430 16:00
81.3,60.3,1,20100430 17:00
79.7,59.8,1,20100430 18:00
76.5,60.5,1,20100430 19:00
